指令,Arduino編碼
開,0x68F10086
關,0x68F1008C
冷氣,0x50F1008E
暖氣,0x687100A6
除濕,0x68F10096
自動,0x68F10086
送風,0x68F1009E
冷氣風速弱,0x74F9009E
冷氣風速中,0x7579009E
冷氣風速強,0x7679009E
冷氣風速自動,0x7479009E
暖氣風速弱,0x0
暖氣風速中,0x0
暖氣風速強,0x0
暖氣風速自動,0x0
冷氣17,0x44F1008E
冷氣18,0x48F1008E
冷氣19,0x4CF1008E
冷氣20,0x50F1008E
冷氣21,0x54F1008E
冷氣22,0x58F1008E
冷氣23,0x5CF1008E
冷氣24,0x60F1008E
冷氣25,0x64F1008E
冷氣26,0x68F1008E
冷氣27,0x6CF1008E
冷氣28,0x70F1008E
冷氣29,0x74F1008E
冷氣30,0x78F1008E
韻律開,0x7879009E
韻律關,0x7879001E
睡眠開,0x74F9019E
睡眠關,0x7479009E
殺菌開,0x7479009E
殺菌關,0x7471009E
Fuzzy冷,0x7478809E
Fuzzy適,0x7479009E
Fuzzy熱,0x7479809E
定時取消,0x7479088E
定時0.5,0x74797C8E
定時1,0x74790C8E
定時2,0x7479148E
定時3,0x74791C8E
定時4,0x7479248E
定時5,0x74792C8E
定時6,0x7479348E
定時7,0x74793C8E
定時8,0x7479448E
定時9,0x74794C8E
定時10,0x7479548E
定時11,0x74795C8E
定時12,0x7479648E